LineNumber StartingPointCoordX StartingPointCoordY EndingPointCoordX EndingPointCoordY
145		198			261		203		261
146		204			260		213		260
147		214			259		216		258
148		217			259		219		256
149		220			255		223		255
150		224			256		226		254
151		226			252		229		249
152		231			246		234		244
153		230			247		241		239
154		242			239		253		245
155		254			246		264		246
156		264			245		273		236
157		274			237		278		245
158		277			246		268		253
159		268			254		272		266
160		273			267		277		270
161		277			269		284		257
162		285			257		289		255
163		288			254		288		243
164		288			242		299		243
165		300			244		318		240
166		319			240		339		243
167		340			243		368		240
168		369			240		388		230
169		389			230		411		231
170		412			230		427		225
171		427			226		431		229
172		432			229		438		222	
173		440			222		442		224
174		443			224		446		222
175		447			222		451		223
176		452			224		454		225
177		455			225		456		226
178		457			226		458		227
179		459			227		466		227
180		467			226		468		224
181		469			224		472		224
182		473			225		475		226
183		475			227		475		229
184		473			231		474		233
185		475			234		476		235
186		477			234		477		233
187		478			231		480		231
188		482			229		484		228
189		485			228		488		228
190		488			227		488		224
191		487			223		486		223
192		484			221		483		220
193		483			219		483		212
194		482			211		480		209
195		479			208		475		206
196		474			206		475		202
197		476			201		477		199
198		477			198		479		195
199		480			192		479		191
200		478			191		476		191
201		476			190		476		182
202		475			181		476		179
203		475			176		473		175
204		472			172		473		169
205		474			167		473		165
206		471			163		469		160
207		469			159		478		159
208		479			158		479		155
209		480			154		480		150
210		481			149		484		146
211		485			148		487		151
212		488			151		488		152
213		483			145		482		143
214		479			140		476		138
215		473			139		470		140
216		467			140		464		138
217		461			137		460		135
218		461			134		460		133
219		460			132		459		129
220		458			127		458		124
221		459			123		461		120
222		462			119		462		114
223		461			113		460		110
224		459			109		456		107
225		455			106		456		103
226		454			102		451		101
227		450			102		448		99
228		448			98		446		96
229		444			95		442		92
230		440			90		438		88
231		435			89		433		91
232		432			92		430		94
233		428			93		426		92
234		425			91		418		91
235		417			92		415		94
236		414			93		411		91
237		410			91		408		91
238		407			92		405		95
239		404			96		401		97
240		400			98		396		100
241		395			101		392		102
242		391			101		388		103
243		385			106		381		106
244		380			107		376		109
245		375			110		371		110
246		370			109		366		109
247		365			108		361		107
248		360			106		357		104
249		354			106		351		105
250		350			105		347		106
251		346			107		343		106
252		342			107		340		109
253		339			109		336		110
254		335			110		332		111
255		331			111		329		110
256		328			109		323		109
257		322			108		318		107
258		316			105		314		103
259		313			104		311		107
260		310			107		304		103
261		303			103		298		102
262		297			99		293		96
263		289			96		285		100
264		281			99		277		94
265		276			93		276		87
266		275			86		272		84
267		269			85		266		86
268		265			87		259		87
269		258			86		255		84
270		254			83		252		80
271		251			79		251		75
272		250			74		248		72
273		247			72		246		74
274		246			75		244		76
275		243			77		228		77
276		227			76		215		76
277		214			75		207		75
278		206			76		203		76
279		202			77		200		77
280		199			78		196		79
281		195			80		192		80
282		192			81		187		81
283		186			82		183		83
284		182			84		180		86
285		178			88		177		89
286		175			90		173		91
287		172			92		170		93
288		169			94		167		95
289		165			95		163		97
290		161			99		161		101
291		160			102		158		104
292		156			105		145		105
293		144			104		142		103
294		138			103		135		102
295		134			101		132		102
296		131			103		119		103
297		118			102		115		102
298		114			101		112		101
299		111			100		107		100
300		106			101		105		101
301		104			102		104		104
